140976,12080,0,-5856,-244,628,-79,0
143472,848,1072,-192,-244,628,-79,0
145976,688,-1136,0,-247,629,-78,0
148488,704,-1200,0,-247,629,-78,0
151008,624,-1152,-128,-243,629,-78,0
153512,736,-1120,-96,-243,629,-78,0
156032,688,-1200,0,-242,634,-72,0
158544,672,-1168,-64,-242,634,-72,0
161048,784,-1168,-48,-243,634,-76,0
163560,592,-1200,-80,-243,634,-76,0
166072,656,-1216,0,-247,633,-76,0
168584,624,-1168,16,-247,633,-76,0
171096,752,-1200,-128,-250,636,-76,0
173608,656,-1216,-160,-250,636,-76,0
176120,640,-1200,-64,-247,627,-75,0
178632,704,-1200,-64,-247,627,-75,0
181144,672,-1136,-64,-246,634,-80,0
183656,640,-1136,0,-246,634,-80,0
186168,656,-1120,-16,-247,628,-76,0
188680,720,-1168,-96,-247,628,-76,0
191192,704,-1168,-96,-249,624,-79,0
193712,624,-1168,-96,-249,624,-79,0
196216,768,-1184,-112,-244,636,-75,0
198728,656,-1168,-176,-244,636,-75,0
201240,608,-1152,-80,-248,628,-75,0
203752,672,-1168,0,-248,628,-75,0
206272,720,-1152,16,-246,633,-79,0
208776,624,-1168,0,-246,633,-79,0
211288,720,-1200,-64,-244,631,-77,0
213800,688,-1200,-112,-244,631,-77,0
216312,656,-1168,-16,-243,629,-79,0
218824,688,-1120,0,-243,629,-79,0
221344,656,-1120,-80,-242,628,-76,0
223856,656,-1232,-48,-242,628,-76,0
226360,640,-1152,-64,-243,635,-80,0
228880,640,-1200,-80,-243,635,-80,0
231392,752,-1168,-160,-245,636,-77,0
233904,592,-1152,64,-245,636,-77,0
236408,688,-1232,-64,-250,632,-76,0
238920,656,-1136,-64,-250,632,-76,0
241440,640,-1168,-80,-245,632,-76,0
243944,672,-1168,-96,-245,632,-76,0
246456,656,-1184,-32,-242,628,-73,0
248968,688,-1152,-64,-242,628,-73,0
251488,608,-1184,-48,-241,625,-76,0
253992,720,-1152,0,-241,625,-76,0
256504,624,-1184,-80,-247,632,-76,0
259016,704,-1200,-96,-247,632,-76,0
261528,672,-1120,-128,-247,630,-79,0
264048,656,-1152,-16,-247,630,-79,0
266552,672,-1184,-80,-244,634,-78,0
269064,624,-1168,-96,-244,634,-78,0
271584,704,-1216,-80,-243,631,-79,0
274088,720,-1184,0,-243,631,-79,0
276600,656,-1168,-64,-243,632,-76,0
279120,624,-1152,-64,-243,632,-76,0
281632,640,-1184,32,-246,630,-75,0
284144,656,-1168,-80,-246,630,-75,0
286648,640,-1184,0,-243,634,-78,0
289160,816,-1152,-80,-243,634,-78,0
291672,640,-1184,0,-246,626,-77,0
294184,656,-1232,-160,-246,626,-77,0
296704,656,-1168,48,-242,628,-75,0
299216,720,-1152,0,-242,628,-75,0
301720,640,-1184,32,-238,633,-75,0
304232,656,-1136,32,-238,633,-75,0
306752,688,-1216,-112,-247,630,-78,0
309272,672,-992,-48,-247,630,-78,0
311776,704,-1184,-128,-243,628,-76,0
314280,688,-1152,-32,-243,628,-76,0
316800,656,-1216,-64,-245,630,-75,0
319304,688,-1136,-128,-245,630,-75,0
321816,624,-1200,-96,-248,632,-74,0
324328,672,-1152,-112,-248,632,-74,0
326840,608,-1088,-112,-241,630,-74,0
329360,656,-1216,-64,-241,630,-74,0
331864,688,-1120,-48,-245,633,-76,0
334376,640,-1200,-80,-245,633,-76,0
336896,688,-1168,-80,-246,629,-79,0
339408,656,-1168,-80,-246,629,-79,0
341920,688,-1168,16,-245,629,-74,0
